time,reference,output,control
0.639,1,0.816777,1.20652
0.64,1,0.817166,1.20527
0.641,1,0.817552,1.20402
0.642,1,0.817938,1.20278
0.643,1,0.818321,1.20155
0.644,1,0.818703,1.20032
0.645,1,0.819084,1.1991
0.646,1,0.819462,1.19788
0.647,1,0.81984,1.19667
0.648,1,0.820215,1.19546
0.649,1,0.820589,1.19426
0.65,1,0.820962,1.19307
0.651,1,0.821333,1.19188
0.652,1,0.821702,1.19069
0.653,1,0.82207,1.18951
0.654,1,0.822436,1.18834
0.655,1,0.822801,1.18717
0.656,1,0.823164,1.18601
0.657,1,0.823526,1.18485
0.658,1,0.823886,1.1837
0.659,1,0.824245,1.18256
0.66,1,0.824602,1.18142
0.661,1,0.824957,1.18028
0.662,1,0.825312,1.17915
0.663,1,0.825664,1.17803
0.664,1,0.826016,1.17691
0.665,1,0.826365,1.17579
0.666,1,0.826714,1.17469
0.667,1,0.827061,1.17358
0.668,1,0.827406,1.17248
0.669,1,0.82775,1.17139
0.67,1,0.828093,1.1703
0.671,1,0.828434,1.16922
0.672,1,0.828773,1.16814
0.673,1,0.829112,1.16707
0.674,1,0.829449,1.166
0.675,1,0.829784,1.16494
0.676,1,0.830118,1.16388
0.677,1,0.830451,1.16283
0.678,1,0.830782,1.16178
0.679,1,0.831112,1.16073
0.68,1,0.831441,1.1597
0.681,1,0.831768,1.15866
0.682,1,0.832094,1.15763
0.683,1,0.832418,1.15661
0.684,1,0.832742,1.15559
0.685,1,0.833063,1.15458
0.686,1,0.833384,1.15357
0.687,1,0.833703,1.15256
0.688,1,0.834021,1.15156
0.689,1,0.834337,1.15056
0.69,1,0.834653,1.14957
0.691,1,0.834967,1.14859
0.692,1,0.835279,1.14761
0.693,1,0.835591,1.14663
0.694,1,0.835901,1.14566
0.695,1,0.836209,1.14469
0.696,1,0.836517,1.14372
0.697,1,0.836823,1.14277
0.698,1,0.837128,1.14181
0.699,1,0.837432,1.14086
0.7,1,0.837734,1.13992
0.701,1,0.838036,1.13897
0.702,1,0.838336,1.13804
0.703,1,0.838634,1.13711
0.704,1,0.838932,1.13618
0.705,1,0.839228,1.13525
0.706,1,0.839523,1.13433
