time,reference,output,u_sat,u_unsat,integrator,disturbance
0.199,3,0.544054,3,3.23482,-2.18191,0
0.2,3,0.546509,3,3.22889,-2.1806,0
0.201,3,0.548963,3,3.22305,-2.17926,0
0.202,3,0.551414,3,3.2173,-2.1779,0
0.203,3,0.553863,3,3.21163,-2.17651,0
0.204,3,0.556309,3,3.20606,-2.17509,0
0.205,3,0.558752,3,3.20057,-2.17365,0
0.206,3,0.561194,3,3.19517,-2.17218,0
0.207,3,0.563632,3,3.18985,-2.17069,0
0.208,3,0.566069,3,3.18461,-2.16918,0
0.209,3,0.568503,3,3.17945,-2.16764,0
0.21,3,0.570934,3,3.17438,-2.16608,0
0.211,3,0.573363,3,3.16938,-2.1645,0
0.212,3,0.57579,3,3.16446,-2.1629,0
0.213,3,0.578214,3,3.15961,-2.16127,0
0.214,3,0.580636,3,3.15484,-2.15962,0
0.215,3,0.583055,3,3.15015,-2.15796,0
0.216,3,0.585472,3,3.14552,-2.15627,0
0.217,3,0.587887,3,3.14097,-2.15456,0
0.218,3,0.590299,3,3.13649,-2.15283,0
0.219,3,0.592709,3,3.13208,-2.15108,0
0.22,3,0.595116,3,3.12774,-2.14931,0
0.221,3,0.597521,3,3.12346,-2.14752,0
0.222,3,0.599923,3,3.11925,-2.14572,0
0.223,3,0.602323,3,3.11511,-2.14389,0
0.224,3,0.604721,3,3.11103,-2.14205,0
0.225,3,0.607116,3,3.10702,-2.14019,0
0.226,3,0.609509,3,3.10306,-2.13831,0
0.227,3,0.6119,3,3.09917,-2.13642,0
0.228,3,0.614288,3,3.09534,-2.1345,0
0.229,3,0.616673,3,3.09157,-2.13258,0
0.23,3,0.619057,3,3.08786,-2.13063,0
0.231,3,0.621438,3,3.08421,-2.12867,0
0.232,3,0.623816,3,3.08061,-2.1267,0
0.233,3,0.626192,3,3.07707,-2.12471,0
0.234,3,0.628566,3,3.07359,-2.1227,0
0.235,3,0.630938,3,3.07016,-2.12068,0
0.236,3,0.633307,3,3.06678,-2.11864,0
0.237,3,0.635673,3,3.06346,-2.1166,0
0.238,3,0.638038,3,3.06019,-2.11453,0
0.239,3,0.6404,3,3.05697,-2.11245,0
0.24,3,0.642759,3,3.0538,-2.11036,0
0.241,3,0.645117,3,3.05068,-2.10826,0
0.242,3,0.647471,3,3.04761,-2.10614,0
0.243,3,0.649824,3,3.04459,-2.10401,0
0.244,3,0.652174,3,3.04161,-2.10187,0
0.245,3,0.654522,3,3.03868,-2.09972,0
0.246,3,0.656868,3,3.0358,-2.09755,0
0.247,3,0.659211,3,3.03297,-2.09537,0
0.248,3,0.661551,3,3.03018,-2.09318,0
0.249,3,0.66389,3,3.02743,-2.09098,0
0.25,3,0.666226,3,3.02473,-2.08877,0
0.251,3,0.66856,3,3.02207,-2.08655,0
0.252,3,0.670891,3,3.01945,-2.08431,0
0.253,3,0.67322,3,3.01687,-2.08207,0
0.254,3,0.675547,3,3.01434,-2.07981,0
0.255,3,0.677872,3,3.01184,-2.07755,0
0.256,3,0.680194,3,3.00939,-2.07527,0
0.257,3,0.682513,3,3.00697,-2.07299,0
0.258,3,0.684831,3,3.00459,-2.07069,0
0.259,3,0.687146,3,3.00225,-2.06839,0
0.26,3,0.689459,2.99995,2.99995,-2.06607,0
0.261,3,0.691767,2.99768,2.99768,-2.06376,0
0.262,3,0.694071,2.99547,2.99547,-2.06146,0
0.263,3,0.69637,2.99327,2.99327,-2.05915,0
0.264,3,0.698665,2.99109,2.99109,-2.05685,0
0.265,3,0.700955,2.98891,2.98891,-2.05455,0
0.266,3,0.703241,2.98674,2.98674,-2.05225,0
0.267,3,0.705522,2.98458,2.98458,-2.04995,0
0.268,3,0.707799,2.98244,2.98244,-2.04765,0
0.269,3,0.710072,2.9803,2.9803,-2.04536,0
0.27,3,0.71234,2.97818,2.97818,-2.04307,0
0.271,3,0.714603,2.97606,2.97606,-2.04079,0
0.272,3,0.716863,2.97396,2.97396,-2.0385,0
0.273,3,0.719118,2.97186,2.97186,-2.03622,0
0.274,3,0.721368,2.96978,2.96978,-2.03394,0
0.275,3,0.723615,2.96771,2.96771,-2.03166,0
0.276,3,0.725857,2.96564,2.96564,-2.02938,0
0.277,3,0.728095,2.96359,2.96359,-2.02711,0
0.278,3,0.730328,2.96155,2.96155,-2.02483,0
0.279,3,0.732557,2.95952,2.95952,-2.02256,0
0.28,3,0.734782,2.95749,2.95749,-2.0203,0
