time,reference,output,control
0.644,1,0.653574,0.922752
0.645,1,0.653842,0.92221
0.646,1,0.65411,0.921672
0.647,1,0.654377,0.921136
0.648,1,0.654643,0.920602
0.649,1,0.654909,0.920072
0.65,1,0.655173,0.919544
0.651,1,0.655437,0.919019
0.652,1,0.6557,0.918497
0.653,1,0.655962,0.917977
0.654,1,0.656224,0.91746
0.655,1,0.656485,0.916946
0.656,1,0.656745,0.916434
0.657,1,0.657004,0.915925
0.658,1,0.657262,0.915419
0.659,1,0.65752,0.914915
0.66,1,0.657777,0.914413
0.661,1,0.658033,0.913915
0.662,1,0.658288,0.913419
0.663,1,0.658543,0.912925
0.664,1,0.658797,0.912434
0.665,1,0.65905,0.911946
0.666,1,0.659302,0.91146
0.667,1,0.659554,0.910976
0.668,1,0.659805,0.910495
0.669,1,0.660055,0.910017
0.67,1,0.660305,0.909541
0.671,1,0.660553,0.909067
0.672,1,0.660802,0.908596
0.673,1,0.661049,0.908128
0.674,1,0.661295,0.907662
0.675,1,0.661541,0.907198
0.676,1,0.661787,0.906737
0.677,1,0.662031,0.906278
0.678,1,0.662275,0.905821
0.679,1,0.662518,0.905367
0.68,1,0.66276,0.904915
0.681,1,0.663002,0.904466
0.682,1,0.663243,0.904018
0.683,1,0.663483,0.903574
0.684,1,0.663723,0.903131
0.685,1,0.663962,0.902691
0.686,1,0.6642,0.902253
0.687,1,0.664438,0.901818
0.688,1,0.664675,0.901384
0.689,1,0.664911,0.900953
0.69,1,0.665147,0.900524
0.691,1,0.665382,0.900098
0.692,1,0.665616,0.899674
0.693,1,0.66585,0.899252
0.694,1,0.666083,0.898832
0.695,1,0.666315,0.898414
0.696,1,0.666547,0.897999
0.697,1,0.666778,0.897585
0.698,1,0.667008,0.897174
0.699,1,0.667238,0.896765
0.7,1,0.667467,0.896359
0.701,1,0.667695,0.895954
0.702,1,0.667923,0.895552
0.703,1,0.66815,0.895151
0.704,1,0.668377,0.894753
0.705,1,0.668603,0.894357
0.706,1,0.668828,0.893963
0.707,1,0.669053,0.893571
